,English_Title,Cele_name,Movie_rank,Cele_rank
0,The Dark Knight,Cillian Murphy,3,26
1,Fight Club,Brad Pitt,13,89
2,Inception,Leonardo DiCaprio,14,92
3,Inception,Tom Hardy,14,75
4,Inception,Cillian Murphy,14,26
5,Dune: Part Two,Timothée Chalamet,15,13
6,Dune: Part Two,Zendaya,15,21
7,Dune: Part Two,Austin Butler,15,15
8,Dune: Part Two,Florence Pugh,15,11
9,Dune: Part Two,Léa Seydoux,15,63
10,Se7en,Brad Pitt,20,89
11,Interstellar,Matthew McConaughey,21,52
12,Interstellar,Anne Hathaway,21,66
13,Interstellar,Timothée Chalamet,21,13
14,Spider-Man: Across the Spider-Verse,Amandla Stenberg,36,41
15,The Departed,Leonardo DiCaprio,40,92
16,The Departed,Ray Winstone,40,55
17,Django Unchained,Leonardo DiCaprio,56,92
18,Spider-Man: Into the Spider-Verse,Nicolas Cage,65,60
19,Inglourious Basterds,Brad Pitt,70,89
20,The Dark Knight Rises,Tom Hardy,71,75
21,The Dark Knight Rises,Anne Hathaway,71,66
22,American Beauty,Annette Bening,73,93
23,Oppenheimer,Cillian Murphy,90,26
24,Oppenheimer,Emily Blunt,90,71
25,Toy Story 3,Michael Keaton,93,70
26,Snatch,Brad Pitt,122,89
27,Snatch,Vinnie Jones,122,83
28,Batman Begins,Cillian Murphy,130,26
29,The Wolf of Wall Street,Leonardo DiCaprio,131,92
30,The Wolf of Wall Street,Margot Robbie,131,91
31,The Wolf of Wall Street,Matthew McConaughey,131,52
32,Top Gun: Maverick,Tom Cruise,139,97
33,Top Gun: Maverick,Glen Powell,139,98
34,Shutter Island,Leonardo DiCaprio,140,92
35,Prisoners,Jake Gyllenhaal,158,19
36,Prisoners,David Dastmalchian,158,49
37,"Lock, Stock and Two Smoking Barrels",Vinnie Jones,165,83
38,Spider-Man: No Way Home,Zendaya,172,21
39,Warrior,Tom Hardy,175,75
40,Catch Me If You Can,Leonardo DiCaprio,176,92
41,12 Years a Slave,Brad Pitt,183,89
42,Blade Runner,M. Emmet Walsh,184,7
43,The Grand Budapest Hotel,Léa Seydoux,187,63
44,Gone Girl,Carrie Coon,189,94
45,Mad Max: Fury Road,Tom Hardy,199,75
46,How to Train Your Dragon,Kristen Wiig,206,74
47,Logan,Dafne Keen,216,48
48,Spotlight,Michael Keaton,217,70
49,The Iron Giant,M. Emmet Walsh,245,7
50,The Help,Emma Stone,246,17
51,The Help,Bryce Dallas Howard,246,56
