Rank;Title;Release Year;Duration;Age Rating;Rating;Amount of Reviews
1;Frihetens regn;1994;2h 22m;15;9.3;2.9M
2;Gudfaren;1972;2h 55m;15;9.2;2M
3;The Dark Knight;2008;2h 32m;15;9.0;2.9M
4;Gudfaren - del II;1974;3h 22m;15;9.0;1.4M
5;12 edsvorne menn;1957;1h 36m;16;9.0;861000
6;Schindlers liste;1993;3h 15m;15;9.0;1.4M
7;Ringenes herre: Atter en konge;2003;3h 21m;12;9.0;2M
8;Pulp Fiction;1994;2h 34m;16;8.9;2.2M
9;Ringenes herre: Ringens brorskap;2001;2h 58m;12;8.9;2M
10;Den gode, den onde og den grusomme;1966;2h 41m;(Banned);8.8;809000
11;Forrest Gump;1994;2h 22m;11;8.8;2.2M
12;Ringenes herre: To tårn;2002;2h 59m;12;8.8;1.8M
13;Fight Club;1999;2h 19m;15;8.8;2.3M
14;Inception;2010;2h 28m;15;8.8;2.5M
15;Dune: Part Two;2024;2h 46m;12;8.8;299000
16;Imperiet slår tilbake;1980;2h 4m;9;8.7;1.4M
17;The Matrix;1999;2h 16m;15;8.7;2M
18;Mafiabrødre;1990;2h 25m;18;8.7;1.3M
19;Gjøkeredet;1975;2h 13m;15;8.7;1.1M
20;Seven;1995;2h 7m;15;8.6;1.8M
21;Interstellar;2014;2h 49m;12;8.7;2.1M
22;Livet er vidunderlig;1946;2h 10m;A;8.6;498000
23;De syv samuraier;1954;3h 27m;16;8.6;366000
24;Nattsvermeren;1991;1h 58m;18;8.6;1.5M
25;Redd menig Ryan;1998;2h 49m;15;8.6;1.5M
26;City of God;2002;2h 10m;15;8.6;799000
27;Livet er herlig;1997;1h 56m;7;8.6;741000
28;Den grønne mil;1999;3h 9m;15;8.6;1.4M
29;Terminator 2 - Dommens dag;1991;2h 17m;15;8.6;1.2M
30;Star Wars - Stjernekrigen;1977;2h 1m;11;8.6;1.4M
31;Tilbake til fremtiden;1985;1h 56m;11;8.5;1.3M
32;Chihiro og heksene;2001;2h 5m;7;8.6;845000
33;Pianisten;2002;2h 30m;15;8.5;908000
34;Parasitt;2019;2h 12m;15;8.5;952000
35;Psycho;1960;1h 49m;15;8.5;716000
36;Spider-Man: Across the Spider-Verse;2023;2h 20m;9;8.6;363000
37;Gladiatoren;2000;2h 35m;15;8.5;1.6M
38;Løvenes konge;1994;1h 28m;7;8.5;1.1M
39;Léon;1994;1h 50m;15;8.5;1.2M
40;The Departed;2006;2h 31m;15;8.5;1.4M
41;American History X;1998;1h 59m;15;8.5;1.2M
42;Whiplash;2014;1h 46m;11;8.5;983000
43;The Prestige;2006;2h 10m;15;8.5;1.4M
44;Ildfluenes grav;1988;1h 29m;11;8.5;309000
45;Harakiri;1962;2h 13m;Not Rated;8.6;68000
46;De mistenkte;1995;1h 46m;15;8.5;1.1M
47;Casablanca;1942;1h 42m;16;8.5;605000
48;De urørlige;2011;1h 52m;7;8.5;926000
49;Cinema Paradiso;1988;2h 54m;10;8.5;282000
50;Moderne tider;1936;1h 27m;7;8.5;259000
51;Vinduet mot bakgården;1954;1h 52m;16;8.5;521000
52;Ondt blod i Vesten;1968;2h 46m;12;8.5;348000
53;Alien - den 8. passasjeren;1979;1h 57m;15;8.5;947000
54;Byens lys;1931;1h 27m;A;8.5;196000
55;Apokalypse nå!;1979;2h 27m;15;8.4;708000
56;Django Unchained;2012;2h 45m;18;8.5;1.7M
57;Memento;2000;1h 53m;15;8.4;1.3M
58;12th Fail;2023;2h 27m;9.0; (108K);Rate
59;WALL·E;2008;1h 38m;7;8.4;1.2M
60;Jakten på den forsvunne skatten;1981;1h 55m;15;8.4;1M
61;De andres liv;2006;2h 17m;11;8.4;409000
62;Sunset Boulevard;1950;1h 50m;12;8.4;236000
63;Ærens vei;1957;1h 28m;16;8.4;212000
64;Avengers: Infinity War;2018;2h 29m;12;8.4;1.2M
65;Spider-Man: Into the Spider-Verse;2018;1h 57m;9;8.4;667000
66;Ondskapens hotell;1980;2h 26m;15;8.4;1.1M
67;Anklagerens vitne;1957;1h 56m;7;8.4;137000
68;Diktatoren;1940;2h 5m;7;8.4;237000
69;Aliens;1986;2h 17m;16;8.4;761000
70;Inglourious Basterds;2009;2h 33m;15;8.4;1.6M
71;The Dark Knight Rises;2012;2h 44m;15;8.4;1.8M
72;Dr. Strangelove eller: Hvordan jeg lærte å stoppe med å bekymre meg og å elske bomben;1964;1h 35m;12;8.4;517000
73;American Beauty;1999;2h 2m;15;8.3;1.2M
74;Oldboy;2003;2h;15;8.3;633000
75;Coco;2017;1h 45m;7;8.4;587000
76;Amadeus;1984;2h 40m;12;8.4;426000
77;Toy Story;1995;1h 21m;A;8.3;1.1M
78;Ubåten;1981;2h 29m;12;8.4;264000
79;Braveheart;1995;2h 58m;15;8.3;1.1M
80;Avengers: Endgame;2019;3h 1m;12;8.4;1.3M
81;Joker;2019;2h 2m;15;8.4;1.5M
82;Prinsesse Mononoke;1997;2h 14m;9;8.3;432000
83;Den enestående Will Hunting;1997;2h 6m;12;8.3;1.1M
84;Your Name.;2016;1h 46m;7;8.4;318000
85;Ondt blod i Amerika;1984;3h 49m;15;8.3;377000
86;Himmel og helvete;1963;2h 23m;Not Rated;8.4;53000
87;3 Idiots;2009;2h 50m;11;8.4;433000
88;Singin' in the Rain;1952;1h 43m;7;8.3;260000
89;Kapernaum;2018;2h 6m;12;8.4;105000
90;Oppenheimer;2023;3h;12;8.3;704000
91;Requiem for a Dream;2000;1h 42m;15;8.3;896000
92;Gå og se!;1985;2h 22m;16;8.4;96000
93;Toy Story 3;2010;1h 43m;7;8.3;890000
94;Jedi-ridderen vender tilbake;1983;2h 11m;12;8.3;1.1M
95;Evig solskinn i et plettfritt sinn;2004;1h 48m;11;8.3;1.1M
96;Jakten;2012;1h 55m;11;8.3;363000
97;2001: En romodyssé;1968;2h 29m;12;8.3;717000
98;De hensynsløse;1992;1h 39m;18;8.3;1.1M
99;Å leve;1952;2h 23m;Not Rated;8.3;87000
100;Lawrence of Arabia;1962;3h 38m;16;8.3;313000
101;Ungkarsleiligheten;1960;2h 5m;A;8.3;196000
102;Med hjertet i halsen;1959;2h 16m;16;8.3;345000
103;Citizen Kane;1941;1h 59m;16;8.3;465000
104;Nawals hemmelighet - Incendies;2010;2h 11m;15;8.3;199000
105;Vertigo;1958;2h 8m;11;8.3;426000
106;M - Eine Stadt sucht einen Mörder;1931;1h 57m;15;8.3;168000
107;Dobbelt erstatning;1944;1h 47m;16;8.3;167000
108;Scarface;1983;2h 50m;15;8.3;913000
109;Den fabelaktige Amélie fra Montmartre;2001;2h 2m;11;8.3;793000
110;Full Metal Jacket;1987;1h 56m;18;8.3;788000
111;A Clockwork Orange;1971;2h 16m;18;8.3;879000
112;Heat;1995;2h 50m;15;8.3;717000
113;Se opp;2009;1h 36m;7;8.3;1.1M
114;Drep ikke en sangfugl;1962;2h 9m;16;8.3;332000
115;Stikket;1973;2h 9m;11;8.3;279000
116;Nader og Simin - et brudd;2011;2h 3m;A;8.3;258000
117;Indiana Jones og det siste korstog;1989;2h 7m;12;8.2;809000
